name,region,revenue,status
customer-00,eu,100,ok
customer-01,us,101,ok
customer-02,apac,102,ok
customer-03,eu,103,ok
customer-04,us,104,ok
customer-05,apac,105,ok
customer-06,eu,106,ok
customer-07,us,107,ok
customer-08,apac,108,ok
customer-09,eu,109,ok
customer-10,us,110,ok
customer-11,apac,111,ok
customer-12,eu,112,ok
customer-13,us,113,ok
customer-14,apac,114,ok
customer-15,eu,115,ok
customer-16,us,116,ok
customer-17,apac,117,ok
customer-18,eu,118,ok
customer-19,us,119,ok
customer-20,apac,120,ok
customer-21,eu,121,ok
customer-22,us,122,ok
customer-23,apac,123,ok
customer-24,eu,124,ok
customer-25,us,125,ok
customer-26,apac,126,ok
customer-27,eu,127,ok
customer-28,us,128,ok
customer-29,apac,129,ok
customer-30,eu,130,ok
customer-31,us,131,ok
customer-32,apac,132,ok
customer-33,eu,133,ok
customer-34,us,134,ok
customer-35,apac,135,ok
customer-36,eu,136,ok
customer-37,apac,137,review
customer-38,us,138,ok
customer-39,apac,139,ok
customer-40,eu,140,ok
customer-41,us,141,ok
customer-42,apac,142,ok
customer-43,eu,143,FAILED chargeback review
customer-44,us,144,ok
customer-45,apac,145,ok
customer-46,eu,146,ok
customer-47,us,147,ok
customer-48,apac,148,ok
customer-49,eu,149,ok
