sku,on_hand,reserved,supplier,line_status
SKU-60000,10,0,acme_parts,ok
SKU-60001,17,5,nordfab,ok
SKU-60002,24,10,veltek,ok
SKU-60003,31,15,acme_parts,ok
SKU-60004,38,20,nordfab,ok
SKU-60005,45,25,acme_parts,ok
SKU-60006,52,30,nordfab,ok
SKU-60007,59,35,veltek,ok
SKU-60008,66,40,acme_parts,ok
SKU-60009,73,45,nordfab,ok
SKU-60010,80,50,acme_parts,ok
SKU-60011,87,55,nordfab,ok
SKU-60012,94,0,veltek,ok
SKU-60013,11,5,acme_parts,ok
SKU-60014,18,10,nordfab,ok
SKU-60015,25,15,acme_parts,ok
SKU-60016,32,20,nordfab,ok
SKU-60017,39,25,veltek,ok
SKU-60018,46,30,acme_parts,ok
SKU-60019,53,35,nordfab,ok
SKU-60020,60,40,acme_parts,ok
SKU-60021,67,45,nordfab,ok
SKU-60022,74,50,veltek,ok
SKU-60023,81,55,acme_parts,ok
SKU-60024,88,0,nordfab,ok
SKU-60025,95,5,acme_parts,ok
SKU-60026,12,10,nordfab,ok
SKU-60027,19,15,veltek,ok
SKU-60028,26,20,acme_parts,ok
SKU-60029,33,25,nordfab,ok
SKU-60030,40,30,acme_parts,ok
SKU-60031,47,35,nordfab,ok
SKU-60032,54,40,veltek,ok
SKU-60033,61,45,acme_parts,ok
SKU-60034,68,50,nordfab,ok
SKU-60035,75,55,acme_parts,ok
SKU-60036,82,0,nordfab,ok
SKU-60037,89,5,veltek,ok
SKU-60038,96,10,acme_parts,ok
SKU-60039,13,13,nordfab,ok
SKU-60040,20,20,acme_parts,ok
SKU-60041,27,25,nordfab,ok
SKU-60042,34,30,veltek,ok
SKU-60043,41,35,acme_parts,ok
SKU-60044,48,40,nordfab,ok
SKU-60045,55,45,acme_parts,ok
SKU-60046,62,50,nordfab,ok
SKU-60047,69,55,veltek,ok
SKU-60048,76,0,acme_parts,ok
SKU-60049,83,5,nordfab,ok
SKU-60050,90,10,acme_parts,ok
SKU-60051,97,15,nordfab,ok
SKU-60052,14,14,veltek,ok
SKU-60053,21,21,acme_parts,ok
SKU-60054,28,28,nordfab,ok
SKU-60055,35,35,acme_parts,ok
SKU-60056,42,40,nordfab,ok
SKU-60057,49,45,veltek,ok
SKU-60058,56,50,acme_parts,ok
SKU-60059,63,55,nordfab,ok
SKU-60060,70,0,acme_parts,ok
SKU-60061,77,5,nordfab,ok
SKU-60062,84,10,veltek,ok
SKU-60063,91,15,acme_parts,ok
SKU-60064,98,20,nordfab,ok
SKU-60065,15,15,acme_parts,ok
SKU-60066,22,22,nordfab,ok
SKU-60067,29,29,veltek,ok
SKU-60068,36,36,acme_parts,ok
SKU-60069,43,43,nordfab,ok
SKU-60070,50,50,acme_parts,ok
SKU-60071,57,55,nordfab,ok
SKU-60072,64,0,veltek,ok
SKU-60073,71,5,acme_parts,ok
SKU-60074,78,10,nordfab,ok
SKU-60075,85,15,acme_parts,ok
SKU-60076,92,20,nordfab,ok
SKU-60077,99,25,veltek,ok
SKU-60078,16,16,acme_parts,ok
SKU-60079,23,23,nordfab,ok
SKU-60080,30,30,acme_parts,ok
SKU-60081,37,37,nordfab,ok
SKU-60082,44,44,veltek,ok
SKU-60083,51,51,acme_parts,ok
SKU-60084,58,0,nordfab,ok
SKU-60085,65,5,acme_parts,ok
SKU-60086,72,10,nordfab,ok
SKU-60087,79,15,veltek,ok
SKU-60088,86,20,acme_parts,ok
SKU-60089,93,25,nordfab,ok
SKU-60090,10,10,acme_parts,ok
SKU-60091,17,17,nordfab,ok
SKU-60092,24,24,veltek,ok
SKU-60093,31,31,acme_parts,ok
SKU-60094,38,38,nordfab,ok
SKU-60095,45,45,acme_parts,ok
SKU-60096,52,0,nordfab,ok
SKU-60097,59,5,veltek,ok
SKU-60098,66,10,acme_parts,ok
SKU-60099,73,15,nordfab,ok
SKU-60100,80,20,acme_parts,ok
SKU-60101,87,25,nordfab,ok
SKU-60102,94,30,veltek,ok
SKU-60103,11,11,acme_parts,ok
SKU-60104,18,18,nordfab,ok
SKU-60105,25,25,acme_parts,ok
SKU-60106,32,32,nordfab,ok
SKU-60107,39,39,veltek,ok
SKU-60108,46,0,acme_parts,ok
SKU-60109,53,5,nordfab,ok
SKU-60110,60,10,acme_parts,ok
SKU-60111,67,15,nordfab,ok
SKU-60112,74,20,veltek,ok
SKU-60113,13,50,brixholm_industrial,oversold_reservation_exceeds_stock
SKU-60114,88,30,nordfab,ok
SKU-60115,95,35,acme_parts,ok
SKU-60116,12,12,nordfab,ok
SKU-60117,19,19,veltek,ok
SKU-60118,26,26,acme_parts,ok
SKU-60119,33,33,nordfab,ok
SKU-60120,40,0,acme_parts,ok
SKU-60121,47,5,nordfab,ok
SKU-60122,54,10,veltek,ok
SKU-60123,61,15,acme_parts,ok
SKU-60124,68,20,nordfab,ok
SKU-60125,75,25,acme_parts,ok
SKU-60126,82,30,nordfab,ok
SKU-60127,89,35,veltek,ok
SKU-60128,96,40,acme_parts,ok
SKU-60129,13,13,nordfab,ok
SKU-60130,20,20,acme_parts,ok
SKU-60131,27,27,nordfab,ok
SKU-60132,34,0,veltek,ok
SKU-60133,41,5,acme_parts,ok
SKU-60134,48,10,nordfab,ok
SKU-60135,55,15,acme_parts,ok
SKU-60136,62,20,nordfab,ok
SKU-60137,69,25,veltek,ok
SKU-60138,76,30,acme_parts,ok
SKU-60139,83,35,nordfab,ok
SKU-60140,90,40,acme_parts,ok
SKU-60141,97,45,nordfab,ok
SKU-60142,14,14,veltek,ok
SKU-60143,21,21,acme_parts,ok
SKU-60144,28,0,nordfab,ok
SKU-60145,35,5,acme_parts,ok
SKU-60146,42,10,nordfab,ok
SKU-60147,49,15,veltek,ok
SKU-60148,56,20,acme_parts,ok
SKU-60149,63,25,nordfab,ok
SKU-60150,70,30,acme_parts,ok
SKU-60151,77,35,nordfab,ok
SKU-60152,84,40,veltek,ok
SKU-60153,91,45,acme_parts,ok
SKU-60154,98,50,nordfab,ok
SKU-60155,15,15,acme_parts,ok
SKU-60156,22,0,nordfab,ok
SKU-60157,29,5,veltek,ok
SKU-60158,36,10,acme_parts,ok
SKU-60159,43,15,nordfab,ok
SKU-60160,50,20,acme_parts,ok
SKU-60161,57,25,nordfab,ok
SKU-60162,64,30,veltek,ok
SKU-60163,71,35,acme_parts,ok
SKU-60164,78,40,nordfab,ok
SKU-60165,85,45,acme_parts,ok
SKU-60166,92,50,nordfab,ok
SKU-60167,99,55,veltek,ok
SKU-60168,16,0,acme_parts,ok
